S.No,L1,L2,L3,charge,DOI ,Incubation Time (hours),Cell Lines,IC50 (µM),pIC50
212,c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,0,10.1016/j.ejmech,48 h,HCT116,0.21,6.68
213,c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,0,10.1039/c9dt01922g,48 h,HCT116,31.3,4.50
214,c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,0,10.1039/c9dt01922g,48 h,A2780,18.8,4.73
215, c1(cc(cc(n1)c1ccccn1)c1c2c(ncc1)cccc2)c1ncccc1, Cl , Cl ,0,10.1039/c9dt01922g,48 h,HCT116,>160,
216, c1(cc(cc(n1)c1ccccn1)c1c2c(ncc1)cccc2)c1ncccc1, Cl , Cl ,0,10.1039/c9dt01922g,48 h,A2780,>100,
217,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,4T1,4.5,5.35
218,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,HCT116,6,5.22
219,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,PC3,7.5,5.12
220,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,4T1,3,5.52
221,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,HCT116,7.5,5.12
222,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,0,10.1039/d4dt02516d,24 h,PC3,7.5,5.12
223,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,c1cnc2c(c1)ccc(c2O)C ,,0,,48 h,MCF7,17.3,4.76
